,spot_price,current_time,strike_price,best_bid,best_offer,ticker,market_price
154,14747.0302734375,0.3534246575342465,15700.0,406.0,414.5,NDX,410.25
155,15056.9599609375,0.3506849315068493,15700.0,503.2,513.3,NDX,508.25
156,14705.6396484375,0.347945205479452,15700.0,411.0,423.4,NDX,417.2
157,14253.83984375,0.3452054794520548,15700.0,288.6,301.4,NDX,295.0
158,14268.58984375,0.336986301369863,15700.0,281.9,289.9,NDX,285.9
159,14620.8203125,0.3342465753424657,15700.0,348.7,357.1,NDX,352.9
160,14603.6396484375,0.3315068493150685,15700.0,336.3,343.6,NDX,339.95000000000005
161,14171.740234375,0.3287671232876712,15700.0,226.5,239.2,NDX,232.85
162,14009.5400390625,0.3260273972602739,15700.0,182.1,189.2,NDX,185.64999999999998
163,13870.5302734375,0.3150684931506849,15700.0,151.9,159.5,NDX,155.7
164,13509.4296875,0.3123287671232876,15700.0,106.2,110.9,NDX,108.55000000000001
165,13974.669921875,0.3095890410958904,15700.0,162.4,169.6,NDX,166.0
166,14189.16015625,0.3068493150684931,15700.0,190.6,197.6,NDX,194.1
167,14237.8095703125,0.2986301369863013,15700.0,211.3,218.1,NDX,214.7
168,14005.990234375,0.2958904109589041,15700.0,186.4,193.2,NDX,189.8
169,14243.6904296875,0.2931506849315068,15700.0,220.3,225.8,NDX,223.05
170,14035.2099609375,0.2904109589041095,15700.0,166.2,171.3,NDX,168.75
171,13837.830078125,0.2876712328767123,15700.0,135.4,142.4,NDX,138.9
172,13319.3798828125,0.2794520547945205,15700.0,84.6,90.9,NDX,87.75
173,13267.599609375,0.2767123287671232,15700.0,74.9,79.2,NDX,77.05000000000001
174,13742.2001953125,0.273972602739726,15700.0,116.9,121.0,NDX,118.95
175,13591.0,0.2712328767123287,15700.0,95.9,99.0,NDX,97.45
176,13046.6396484375,0.2602739726027397,15700.0,47.5,50.6,NDX,49.05
177,13956.7900390625,0.2547945205479452,15700.0,112.4,118.9,NDX,115.65
178,14118.599609375,0.2520547945205479,15700.0,120.6,125.4,NDX,123.0
179,14420.080078125,0.2493150684931507,15700.0,171.7,176.6,NDX,174.14999999999998
