,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,current_time
2034114,102480,2021-09-07,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1165.4,1198.3,0,4,0.224572,0.523962,0.000128,5453.189,-742.0509,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7753424657534247
2049870,102480,2021-09-08,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1131.0,1163.8,0,4,0.223845,0.516706,0.000129,5430.439,-740.025,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7726027397260274
2064974,102480,2021-09-09,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1108.0,1142.2,0,4,0.225757,0.509472,0.000129,5404.132,-746.702,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7698630136986301
2080914,102480,2021-09-10,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1050.6,1087.8,0,4,0.226994,0.494206,0.000129,5355.303,-748.3357,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7671232876712328
2097418,102480,2021-09-13,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1035.5,1059.2,0,4,0.224618,0.492229,0.000132,5324.37,-744.2714,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7589041095890411
2113052,102480,2021-09-14,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1011.7,1034.2,0,4,0.225151,0.485533,0.000132,5295.202,-745.5137,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7561643835616438
2127974,102480,2021-09-15,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1048.2,1072.3,0,4,0.221294,0.500154,0.000133,5329.394,-738.6094,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7534246575342466
2142900,102480,2021-09-16,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1044.4,1067.7,0,4,0.219663,0.50129,0.000135,5324.019,-735.1697,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7506849315068493
2157636,102480,2021-09-17,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,960.1,982.1,0,4,0.220818,0.477032,0.000136,5245.429,-733.594,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7479452054794521
2172432,102480,2021-09-20,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,822.0,857.5,0,4,0.224897,0.43517,0.000135,5051.289,-732.0861,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7397260273972602
2187910,102480,2021-09-21,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,840.9,861.5,0,4,0.226105,0.438,0.000135,5053.17,-739.872,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.736986301369863
2202996,102480,2021-09-22,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,856.7,884.8,0,4,0.217303,0.453235,0.00014,5119.653,-720.654,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7342465753424657
2218090,102480,2021-09-23,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,914.1,940.0,0,4,0.215975,0.472144,0.00014,5179.035,-726.0292,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7315068493150685
2232706,102480,2021-09-24,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,918.4,937.1,0,4,0.215276,0.473571,0.000141,5175.098,-725.8482,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7287671232876712
2249372,102480,2021-09-27,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,855.0,872.8,0,4,0.215274,0.455455,0.000142,5084.735,-723.1742,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7205479452054795
2265190,102480,2021-09-28,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,683.3,714.6,0,4,0.219746,0.396693,0.00014,4797.144,-703.8262,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7178082191780822
2280280,102480,2021-09-29,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,665.7,693.5,0,4,0.217503,0.392263,0.000141,4767.993,-695.3118,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7150684931506849
2295398,102480,2021-09-30,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,654.4,686.6,0,4,0.221349,0.385838,0.000139,4716.141,-702.4954,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7123287671232876
2307665,102480,2021-10-01,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,666.2,697.5,0,4,0.215662,0.395553,0.000143,4772.903,-694.4129,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7095890410958904
2324618,102480,2021-10-04,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,550.0,576.5,0,4,0.217057,0.350256,0.000141,4467.584,-664.5337,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7013698630136986
2340673,102480,2021-10-05,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,623.6,639.2,0,4,0.216256,0.377909,0.000143,4637.2,-688.4183,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.6986301369863014
2356002,102480,2021-10-06,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,661.1,674.4,0,4,0.216784,0.39138,0.000144,4705.102,-702.5284,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.6958904109589041
2371332,102480,2021-10-07,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,690.4,712.6,0,4,0.213344,0.407343,0.000146,4786.799,-704.6056,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.6931506849315069
